filename,method,Kmax,Kmean,Vmax,Vmean,Amax,Amean,Jmax,Jmean,ErrMax,Time
region_01.txt,Original,3.7169202519605147,0.13325389361898257,35.84793066472949,35.60830782450894,1578.6230553595244,117.25697499713708,150352.3242048249,8117.402648815715,0.0,0.6390583000211336
region_01.txt,S-G,1.0443127635526688,0.09231451985802103,36.80389671415973,35.53755093018423,1013.0443212268947,102.20853270027803,45361.489137805656,5350.067171702299,0.15713617584672107,0.7775000000037835
region_01.txt,Spline,2.5073397854880293,0.10530788345900381,37.69152707147503,35.50129742590184,995.0769163894744,109.89568172171931,92684.15054588293,5154.105368296174,0.10538170000536798,0.7695791999140056
region_01.txt,Gaussian,1.247680491134646,0.08878941177781036,35.84793066472906,35.27289964837307,1038.5230925462522,110.60967432490231,62112.95183439516,5452.081185349298,0.15308360520063224,0.6493124999906286
region_01.txt,LOWESS,0.4994004462398934,0.06453924855537743,35.29607605331986,35.284043705759665,587.3929826536233,79.48469235507235,14211.143366575969,2282.8474466225866,0.4914830660337002,1.3990540999657242
region_02.txt,Original,7.673772565565061,0.45054138644912073,16.8030871783361,16.573102412078633,1032.6342784236292,105.56215983662501,62108.139723987435,7587.051977021178,0.0,0.8476500000142551
region_02.txt,S-G,4.950959700188182,0.4725486330186146,18.007494602214297,16.492421480269655,764.6431301380542,101.53882252193321,55289.17552088797,5300.514375490394,0.04715827035233193,0.8806916999674286
region_02.txt,Spline,5.827637148390666,0.43332493115959564,18.066834844160308,16.45965852629375,884.2781699765363,94.14771599523642,63567.39222953094,4530.527149891881,0.07337363036358291,0.8340709000549396
region_02.txt,Gaussian,5.165146829554315,0.42880024917125936,16.801792315113946,16.305161894588018,706.6524619965678,96.98729634248862,47184.78872331872,5128.173059270266,0.0717560616570214,0.6737542000337271
region_02.txt,LOWESS,2.1540175585386594,0.21132190962048633,16.127161228320087,16.11339401685667,464.6832074735443,51.44115986674997,23460.553918070378,2146.613726585806,0.6016095884307956,1.4295083999968483
region_03.txt,Original,3.350379044522558,0.12688009294636074,35.85226127682548,35.61332554328604,1596.7682659659367,116.28528797497066,147930.40107141875,8071.949140043101,0.0,0.7609874999616295
region_03.txt,S-G,1.0486538602112505,0.09409981163315367,36.84044966736783,35.543186871048945,1017.8448538571839,101.7507701564132,44389.193151220934,5354.2758702056735,0.1393719123450843,0.8286666999993031
