X-6.121531 Y-14.626000 Z-7.000000
X-6.480011 Y-14.626000 Z-7.000000
X-6.838490 Y-14.626000 Z-7.000000
X-7.196969 Y-14.626000 Z-7.000000
X-7.555449 Y-14.626000 Z-7.000000
X-7.913928 Y-14.626000 Z-7.000000
X-8.272407 Y-14.626000 Z-7.000000
X-8.630887 Y-14.626000 Z-7.000000
X-8.989366 Y-14.626000 Z-7.000000
X-9.347845 Y-14.626000 Z-7.000000
X-9.706325 Y-14.626000 Z-7.000000
X-10.064804 Y-14.626000 Z-7.000000
X-10.423283 Y-14.626000 Z-7.000000
X-10.781762 Y-14.626000 Z-7.000000
X-11.140242 Y-14.626000 Z-7.000000
X-11.498721 Y-14.626000 Z-7.000000
X-11.857200 Y-14.626000 Z-7.000000
X-12.215680 Y-14.626000 Z-7.000000
X-12.574159 Y-14.626000 Z-7.000000
X-12.932638 Y-14.626000 Z-7.000000
X-13.291118 Y-14.626000 Z-7.000000
X-13.649597 Y-14.626000 Z-7.000000
X-14.008076 Y-14.626000 Z-7.000000
X-14.366556 Y-14.626000 Z-7.000000
X-14.725035 Y-14.626000 Z-7.000000
X-15.083514 Y-14.626000 Z-7.000000
X-15.441993 Y-14.626000 Z-7.000000
X-15.800473 Y-14.626000 Z-7.000000
X-16.158952 Y-14.626000 Z-7.000000
X-16.517431 Y-14.626000 Z-7.000000
X-16.875911 Y-14.626000 Z-7.000000
X-17.234390 Y-14.626000 Z-7.000000
X-17.592869 Y-14.626000 Z-7.000000
X-17.961136 Y-14.645004 Z-7.000000
X-18.331879 Y-14.668788 Z-7.000000
X-18.698040 Y-14.682987 Z-7.000000
X-19.053012 Y-14.675243 Z-7.000000
X-19.391908 Y-14.636080 Z-7.000000
X-19.710633 Y-14.558285 Z-7.000000
X-20.006677 Y-14.437435 Z-7.000000
X-20.278563 Y-14.271543 Z-7.000000
X-20.526239 Y-14.061318 Z-7.000000
X-20.751014 Y-13.810112 Z-7.000000
X-20.955462 Y-13.523898 Z-7.000000
X-21.143817 Y-13.211461 Z-7.000000
X-21.321443 Y-12.884152 Z-7.000000
X-21.495751 Y-12.556332 Z-7.000000
X-21.675030 Y-12.244830 Z-7.000000
X-21.850583 Y-11.932295 Z-7.000000
X-22.021672 Y-11.617290 Z-7.000000
X-22.188281 Y-11.299889 Z-7.000000
X-22.350395 Y-10.980170 Z-7.000000
X-22.507998 Y-10.658205 Z-7.000000
X-22.661075 Y-10.334072 Z-7.000000
X-22.809612 Y-10.007844 Z-7.000000
