X19.051000 Y3.413000 Z-3.149000
X19.162000 Y2.744000 Z-2.937000
X19.248000 Y2.071000 Z-2.783000
X19.312000 Y1.396000 Z-2.973000
X19.351000 Y0.719000 Z-2.929000
X19.367000 Y0.040000 Z-2.929000
X19.359000 Y-0.616000 Z-2.929000
X19.329000 Y-1.272000 Z-2.964000
X19.277000 Y-1.927000 Z-3.057000
X19.203000 Y-2.580000 Z-2.914000
X19.106000 Y-3.230000 Z-3.121000
X18.988000 Y-3.876000 Z-3.102000
X18.847000 Y-4.519000 Z-3.428000
X18.685000 Y-5.156000 Z-3.394000
X18.501000 Y-5.787000 Z-3.550000
X18.296000 Y-6.412000 Z-3.770000
X18.070000 Y-7.030000 Z-4.080000
X17.823000 Y-7.640000 Z-4.476000
X17.555000 Y-8.241000 Z-4.693000
X17.267000 Y-8.833000 Z-5.290000
X16.959000 Y-9.415000 Z-5.631000
X16.631000 Y-9.986000 Z-6.050000
X16.284000 Y-10.546000 Z-6.652000
X15.918000 Y-11.093000 Z-6.934000
X15.534000 Y-11.629000 Z-6.934000
X15.534000 Y-11.629000 Z-7.000000
X15.131000 Y-12.150000 Z-7.000000
X14.711000 Y-12.658000 Z-7.000000
X14.274000 Y-13.152000 Z-7.000000
X13.821000 Y-13.630000 Z-7.000000
X13.351000 Y-14.093000 Z-7.000000
X12.866000 Y-14.540000 Z-7.000000
X12.766000 Y-14.626000 Z-7.000000
X-12.929000 Y-14.626000 Z-7.000000
X-13.149000 Y-14.435000 Z-7.000000
X-13.636000 Y-13.981000 Z-7.000000
X-14.107000 Y-13.512000 Z-7.000000
X-14.561000 Y-13.026000 Z-7.000000
X-14.999000 Y-12.525000 Z-7.000000
X-15.420000 Y-12.010000 Z-7.000000
X-15.823000 Y-11.480000 Z-7.000000
X-16.208000 Y-10.937000 Z-7.000000
X-16.575000 Y-10.381000 Z-7.000000
X-16.922000 Y-9.813000 Z-7.000000
X-17.250000 Y-9.233000 Z-7.000000
X-17.558000 Y-8.643000 Z-7.000000
X-17.846000 Y-8.042000 Z-7.000000
X-18.114000 Y-7.431000 Z-7.000000
X-18.361000 Y-6.812000 Z-7.000000
X-18.586000 Y-6.185000 Z-7.000000
