index,method,velocity,acceleration,jerk
0,Original,31.104758697996832,6.5315846281245045e-12,4083.0155000199743
1,Original,31.104758697996772,40.83015500020119,8219.691520848795
2,Original,31.05055160649827,164.39383041697732,8273.35204165774
3,Original,31.01718332683587,206.29719583335597,870.2160342434602
4,Original,31.104758697996786,154.45054910372133,3154.2972771864606
5,Original,31.063204365745136,153.2280077289454,10501.536086533555
6,Original,31.096511953963176,70.35496365803196,26881.76315819499
7,Original,30.76118651412716,392.878989260299,15383.522229737497
8,Original,30.815936676227533,367.7138217464505,25456.942579822542
9,Original,31.104758697996836,121.65674606239214,45313.986482046355
10,Original,30.516924084828865,541.8828967982116,12986.851667648896
11,Original,30.81832177358237,379.8622844735196,25291.838515549523
12,Original,31.0974938523633,53.22869240752469,21389.71763442741
13,Original,31.09670844755444,64.12861310221632,2811.714388247939
14,Original,31.103542618989735,46.86066820635468,2267.0918309331123
15,Original,31.100644685541383,47.212572586780226,6504.87180166657
16,Original,31.104758697996814,117.48873943130695,12473.875724034451
17,Original,30.990609897033004,248.59734619734127,2234.5155182789917
18,Original,31.07133507135596,160.65600159930435,11041.580073741367
19,Original,31.10090417681297,52.314146049354655,6235.085427440116
20,Original,31.102093822710557,55.72465006034981,3482.787672643131
21,Original,31.083731384528214,104.26795949020892,4274.512419068814
22,Original,31.078761086237893,124.89914673537997,768.566040325387
23,Original,31.094604785283416,117.08538543530501,891.8720632529225
24,Original,31.081062647277985,110.85371493278024,3206.356441208842
25,Original,31.10441228275007,63.52026361154695,5059.563204209311
26,Original,31.10061468138012,49.73500059407654,231.36766542811657
27,Original,31.104758697996786,64.9755617605269,4654.22144162634
28,Original,31.085888203166885,104.51083851945211,3357.9147883176674
29,Original,31.10197930992697,120.79859411220997,2296.6676367645373
30,Original,31.06686297720094,145.18402668053375,1589.5788118376477
31,Original,31.090720388750928,92.46394305821383,7284.521858856822
32,Original,31.09992212989089,48.20834309741434,1175.000004563669
33,Original,31.101618715767923,75.43627017800593,11753.786085750215
34,Original,30.987350987020807,230.60180177817372,8183.174819807214
35,Original,30.99110325661558,226.6937610454359,8652.569516952686
36,Original,31.102389702614968,66.76487544527319,12271.700100961156
37,Original,31.099988956808726,45.926708707383696,6516.281235770474
38,Original,31.08853898045343,185.16949269851978,19456.6888064293
39,Original,30.877186312927872,368.98528465443957,2183.516986106198
40,Original,31.10475869799688,141.84841516504025,24345.012029294867
41,Original,31.07096699170261,125.67517029285428,15583.914987015074
42,Original,31.07414967954505,178.19524430055014,16196.533528814109
43,Original,30.857965182425517,441.7328834048586,22010.034305263707
