index,method,velocity,acceleration,jerk
0,Original,35.85226127682465,5.507454136564889,2115.9077031086717
1,Original,35.85156889730316,26.666531167651605,2274.3035103107873
2,Original,35.849113559289826,50.99349256909751,1300.8970392902986
3,Original,35.85076515796063,52.67709716094128,141.19840435102958
4,Original,35.84880117742334,53.39172492577774,100.69489704162275
5,Original,35.85050081212371,51.28357729356144,166.08554494468754
6,Original,35.84955005573237,50.44241633181255,86.20609460394161
7,Original,35.84976292107735,52.0767221094552,36408.872897605266
8,Original,35.849486748269285,727.8654127552504,78718.0560875409
9,Original,27.55871618002732,1573.4057627799334,30384.16940095335
10,Original,26.077771848288773,123.54896051491122,147930.40107141875
11,Original,26.71608878013731,1388.214619082351,24561.49968128286
12,Original,34.925399197623875,416.08789506632246,103950.65150167492
13,Original,34.78195480317538,774.1707939164384,30148.26754377752
14,Original,35.834440638908404,371.64023049685846,31615.125539119814
15,Original,35.812132944308566,153.82900082155928,27472.0237720584
16,Original,35.85226127682473,184.09017347100811,33564.53102939531
17,Original,35.42215455063609,524.3104975767621,3394.5258743407726
18,Original,35.75451668164254,250.51665926637426,31384.80325477565
19,Original,35.81952673220291,115.2294397274741,4610.010432957924
20,Original,35.845097401886186,209.19724664448958,36260.733442473495
21,Original,35.20070422077997,622.4523484376851,3473.0796151413583
22,Original,35.6385467269549,272.8619146791929,42179.83985442885
23,Original,35.72789043593625,230.1574017580404,16213.676764527549
24,Original,35.835599876712706,76.21876514532332,20923.549130689764
25,Original,35.79484230954619,201.4096715823415,11450.46522496886
26,Original,35.84570713822799,179.99984315747406,3413.6832257127244
27,Original,35.82381972824172,138.9041037359962,5191.691495727139
28,Original,35.85078999948865,86.2957423008456,4577.436733783147
29,Original,35.848870806206925,64.00149552877677,984.0432149424723
30,Original,35.8381351474472,102.02100683783965,5654.392818338893
31,Original,35.83340434168626,158.70255447361373,5382.22574458065
32,Original,35.80301220180927,200.723171773053,5208.258072443547
33,Original,35.80924555411311,68.1491675217044,20100.822219036763
34,Original,35.734582773184,214.06867628191333,2759.129638942858
35,Original,35.78128600124806,109.73796314842694,40180.7223817229
36,Original,35.17343189639051,598.7414576628126,20090.020983900795
37,Original,35.64553350853807,499.21634713185995,17407.436974126722
38,Original,35.78423391503736,260.581887765556,20658.271156846273
39,Original,35.83096968642232,95.06264265133014,17011.533715028676
40,Original,35.83177886907824,92.5045317616602,1233.0616880522173
41,Original,35.840805557761456,99.50621728931795,24988.605421543227
42,Original,35.50952809784714,417.3844155335982,11573.519496207995
43,Original,35.621118500932226,324.00434353202104,35164.91742098012
44,Original,35.718497397425075,290.16638702649277,50921.79263814528
45,Original,35.18051727034806,698.0570719315887,19564.346204567864
46,Original,35.70467216943887,671.7709903023962,18105.843646487916
47,Original,35.248401029470784,505.7575533074343,26585.587119237603
48,Original,33.863355933472306,192.3309709068923,20557.631811715917
49,Original,33.86151136676254,153.36931011603895,8471.151038630633
50,Original,35.85047298571883,152.94076334403226,7300.9082579545275
51,Original,35.84938701847924,51.93409000453665,7300.821692882573
52,Original,35.849873141119744,51.91141911392235,75.9946316679327
53,Original,35.84981370885656,52.13095365297241,82.31144484492165
54,Original,35.84933731293823,52.54872865166183,76.5383985888736
